client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent,bandwidth_per_client_kbps
1,4,4,1762087504852,1762087504853,0,0,0.07932283660875106,1.6,91.57109237101689
1,5,5,1762087504852,1762087504854,1,1,0.07775883886606473,0.0,134.32158607156742
1,6,6,1762087504903,1762087504903,0,47,0.021510989535446435,2.5,99.0227685439243
1,7,7,1762087504903,1762087504904,0,48,0.015155006614176004,0.0,157.5345313278335
1,8,8,1762087504954,1762087504955,0,49,0.024606666109352682,0.0,32.02034141305785
1,9,9,1762087504954,1762087504956,1,49,0.03179859874381276,0.0,33.35510446471244
1,10,10,1762087505006,1762087505006,0,48,0.036551062613274135,0.0,155.9545340519938
1,11,11,1762087505006,1762087505007,1,48,0.03197510396886767,0.0,196.3761989266207
1,12,12,1762087505057,1762087505057,0,49,0.0409523119935898,7.5,47.31513724573951
1,13,13,1762087505057,1762087505058,0,49,0.08753796521727174,100.0,96.76264537574053
1,14,14,1762087505108,1762087505108,0,49,0.01380471445545095,10.0,63.11808101883534
1,15,15,1762087505108,1762087505108,0,49,0.0720460103316375,0.0,129.06485534478415
1,16,16,1762087505158,1762087505159,0,50,0.05491836885563313,4.9,77.31083521921586
2,4,4,1762087505158,1762087505160,1,0,0.0698152987101535,0.0,53.93615190085345
1,17,17,1762087505159,1762087505160,1,49,0.0564338367214287,0.0,51.7508395314826
2,5,5,1762087505159,1762087505161,2,1,0.08253119014949482,0.0,120.05585998235551
1,18,18,1762087505210,1762087505210,0,48,0.0031038721819811044,0.0,53.778761884470214
2,6,6,1762087505210,1762087505211,1,49,0.02463011646472353,0.0,178.36427830397304
2,7,7,1762087505210,1762087505212,1,49,0.026975281000153273,0.0,72.42692982487767
1,19,19,1762087505210,1762087505213,2,47,0.054495147693555485,0.0,62.66475028337142
1,20,20,1762087505261,1762087505261,0,46,0.002690348180624591,0.0,142.74423797520737
2,8,8,1762087505261,1762087505262,1,49,0.02028234721466481,0.0,118.309281728867
1,21,21,1762087505261,1762087505263,1,47,0.08214545761239354,0.0,181.87934146950545
2,9,9,1762087505261,1762087505263,2,48,0.08959605816403382,0.0,110.65672304655197
1,22,22,1762087505312,1762087505313,0,48,0.044813522319649315,0.0,189.15875703293938
2,10,10,1762087505312,1762087505314,1,49,0.05869299796920679,50.0,43.82026728526675
1,23,23,1762087505313,1762087505315,2,48,0.08945884714629981,0.0,31.643474165361333
2,11,11,1762087505313,1762087505316,3,48,0.09358086715279701,0.0,61.315028807045906
1,24,24,1762087505364,1762087505364,0,47,0.021971835296499344,0.0,195.24691650832804
2,12,12,1762087505364,1762087505366,2,47,0.03419955768310995,0.0,173.84873743009624
1,25,25,1762087505364,1762087505367,2,47,0.08044739368061125,50.0,105.39406628788794
2,13,13,1762087505364,1762087505368,3,47,0.07249704734015398,0.0,21.229796497193558
1,26,26,1762087505415,1762087505416,0,46,0.05458786189549704,2.6,95.05264385671256
2,14,14,1762087505415,1762087505417,1,47,0.05776999129525323,0.0,92.72907361003637
2,15,15,1762087505415,1762087505417,2,48,0.0740473744983298,0.0,190.02551434451362
1,27,27,1762087505415,1762087505418,3,46,0.07471863707580563,0.0,49.13921013535395
1,28,28,1762087505466,1762087505467,0,45,0.06245652606612481,0.0,72.22571586771568
2,16,16,1762087505467,1762087505468,1,49,0.037393978389075315,0.0,26.924461142973882
2,17,17,1762087505467,1762087505468,1,49,0.0059084387042624645,0.0,189.23358017587222
1,29,29,1762087505467,1762087505470,2,45,0.03205111211762137,0.0,153.91974487244923
